codigo,nombre,ingredientes,categoria,cats,etiqueta,beneficios,avisos,contenido,precioPublico,precioPúblico_K,precioMayoreo,precioMayoreo_K,precioDistribuidor,precioDistribuidor_K,Imagen,cantidadArticulos
102045,Aloe vera y árnica,"Glicerina, LESS, Cocoamida, Aceite de coco, Alore vera, Árnica, TEA",Jabón sólido,Astringente,NS+AL,"Sensación refrescante del aloe en una limpieza suave y de enjuague fácil.
Aroma herbal con toque verde que deja sensación limpia al terminar.
Espuma ligera/cremosa que no satura y aporta confort en la ducha.
Ideal para quienes disfrutan perfiles verdes tipo spa.","Puede contener alérgenos aromáticos. Evita el contorno de ojos. Piel muy reactiva: prueba de parche; si irrita, suspende.",100 gr,45,450,43,430,39,390,102045.webp,1
102046,Aloe vera y miel,"Glicerina, LESS, Cocoamida, Aceite de coco, Alore vera, Miel, TEA",Jabón sólido,Aromáticos,NS+AL,"Sensación fresca del aloe en una limpieza suave y de enjuague fácil.
Toque confortable y cremoso gracias a la miel.
Espuma ligera/cremosa que deja tacto cómodo al secar.
Ideal para quien busca un perfil dulce–herbal sin resultar empalagoso.
Perfecto para una rutina nocturna o climas secos.","Contiene derivados de abeja; si tu piel es muy reactiva, realiza prueba de parche. Evita el contorno de ojos. Si irrita, suspende.",100 gr,45,450,43,430,39,390,102046.webp,1
110105,Angel Corazón,"Glicerina, LESS, Cocoamida, Aceite de coco, Avena, Miel, TEA",Jabón sólido,Decorativo,NS+AL,"Aroma suave “bebé” que aporta sensación de confort y limpieza fresca.
Base de glicerina: limpieza gentil, enjuague fácil, sin sensación pegajosa.
La avena ayuda a dejar la piel con tacto más suave tras el baño.
Espuma ligera/cremosa que hace la rutina rápida y agradable.
Ideal para quien busca un aroma tierno sin notas intensas.","En piel muy reactiva o con antecedentes de sensibilidad a fragancias, mejor elegir tu Avena sin perfume.",40 gr,21,N/A,20,N/A,18,N/A,110105.webp,1
102007,Anti acné salicílico y aloe vera,"Glicerina, LESS, Cocoamida, Aceite de coco, Ácido salicilico, Pigmento, Aloe vera, TEA",Jabón sólido,Astringente,NS+AL,"Apoyo antiimperfecciones: el ácido salicílico (BHA) ayuda a desobstruir poros y mejorar la apariencia de brotes.
Limpieza dirigida sin sensación jabonosa pesada; base de glicerina con aloe para dar frescura.
Con uso constante, favorece una piel con menos brillo y textura más uniforme.
Espuma ligera y enjuague fácil, pensado para rutina de piel mixta/grasa.
Puede complementar rutinas con activos seborreguladores (niacinamida, zinc) —en productos aparte.","No recomendado para piel muy reactiva. Evitar uso si hay alergia a salicilatos/aspirina. Haz prueba de parche. Si reseca, reduce frecuencia (día por medio).",100 gr,45,450,43,430,39,390,102007.webp,1
102008,Arándanos,"Glicerina, LESS, Cocoamida, Aceite de coco, Arándanos, Base de frutos rojos, TEA",Jabón sólido,Aromáticos,NS+AL,"Antioxidante: los arándanos aportan antocianinas que ayudan a neutralizar radicales libres, dejando una apariencia más luminosa.
Sensación astringente ligera: ayuda a que la piel se sienta más fresca y con menos brillo tras el lavado.
Base de glicerina: limpieza suave, enjuague fácil y sin sensación pegajosa.
Aroma frutal que anima la rutina diaria sin volverse invasivo.
Espuma ligera, pensada para uso diurno en piel normal/mixta.","No recomendado para piel muy reactiva. Evita el contorno de ojos. Haz prueba de parche; si irrita, suspende.",100 gr,45,450,43,430,39,390,102008.webp,1
102009,Árnica,"Glicerina, LESS, Cocoamida, Aceite de coco, Árnica, TEA",Jabón sólido,Aromáticos,NS+AL,"Aroma herbal intenso que acompaña rutinas post-día/post-entreno con sensación reconfortante.
Base de glicerina: limpieza suave, enjuague fácil, sin sensación pegajosa.
Aporta una sensación de frescura al finalizar el baño.
Espuma ligera que no satura; ideal para uso en cuerpo.
Deja la piel con tacto limpio y aroma verde tipo spa.","Puede contener alérgenos aromáticos. No recomendado para piel muy reactiva. Evita rostro/contorno de ojos y piel lesionada o irritada. Haz prueba de parche; si irrita, suspende.",100 gr,45,450,43,430,39,390,102009.webp,1
102048,Árnica y Vitamina E,"Glicerina, LESS, Cocoamida, Aceite de coco, Árnica, Vitamina E, TEA",Jabón sólido,Astringente,NS+AL,"Aroma herbal que acompaña la ducha con una sensación fresca.
Vitamina E (antioxidante) que aporta sensación de suavidad al tacto.
Base de glicerina: limpieza suave y enjuague fácil, sin sensación pegajosa.
Espuma ligera/cremosa que deja tacto cómodo.
Perfil tipo spa verde para quienes disfrutan notas botánicas marcadas.","Evita el contorno de ojos. Si tu piel es muy reactiva, haz prueba de parche; si irrita, suspende.",100 gr,45,450,43,430,39,390,102048.webp,1
102010,Arroz,"Glicerina, LESS, Cocoamida, Aceite de coco, Arroz, Harina de arroz, aceite de oliva, TEA",Jabón sólido,Piel sensible,S,"Calma y suaviza: aporta sensación de confort en pieles que se irritan fácil.
Limpieza gentil con base de glicerina; enjuague fácil, sin sensación pegajosa.
Confort diario: espuma ligera pensada para uso cotidiano.
Ayuda a que la piel se sienta menos tirante después del baño.
Ideal para rutinas neutras (sin aromas intensos) o climas secos.",,120 gr,45,450,43,430,39,390,102010.webp,1
102011,Arroz con aloe vera,"Glicerina, LESS, Cocoamida, Aceite de coco, Arroz, Harina de arroz, aloe vera, TEA",Jabón sólido,Piel sensible,S,"Confort inmediato: combinación de arroz (sensación calmante) + aloe (refrescante) para piel que se irrita fácil.
Hidratación ligera: ayuda a retener agua y a disminuir la sensación de tirantez post-baño.
Limpieza gentil: base de glicerina, espuma ligera y enjuague fácil, sin residuo pegajoso.
Uso cotidiano: ideal para rutina diaria y climas secos o calurosos.
Perfil neutro y amable: sin aromas intensos; pensado para quienes buscan sencillez y suavidad.",,100 gr,45,450,43,430,39,390,102011.webp,1
102049,Arroz exfoliante,"Glicerina, LESS, Cocoamida, Aceite de coco, Arroz, Harina de arroz, aceite de oliva, TEA",Jabón sólido,Exfoliante,NS,"Exfoliación física suave con arroz molido: ayuda a remover células muertas y a mejorar el tacto.
Deja la piel más lisa en zonas ásperas (codos, rodillas, talones).
Base de glicerina: limpieza amable y enjuague fácil, sin sensación pegajosa.
Espuma ligera/cremosa que no satura.
Perfecto como complemento 2–3 veces por semana.",Evita rostro/ojos y piel irritada.,120 gr,55,550,53,530,47,470,102049.webp,1
102140,Arroz Miel y Canela,"Glicerina, LESS, Cocoamida, Acite de coco, Arroz Miel y Canela TEA",Jabón sólido,Jabón sólido,S,"Aroma cálido y dulce con notas especiadas que hace más agradable la rutina de baño y deja una sensación reconfortante.
Base de glicerina: limpieza amable y enjuague fácil, sin sensación pegajosa.
Mezcla inspirada en ingredientes tradicionales de cuidado personal que ayudan a que la piel se sienta más suave y confortable después del lavado.
La espuma ligera permite una limpieza delicada mientras deja la piel con sensación de suavidad y flexibilidad.
Ideal para quienes disfrutan aromas dulces y cálidos que acompañan rutinas de baño relajantes.","Contiene canela, que puede generar irritación en piel muy sensible o reactiva. Si tu piel es delicada, úsalo con moderación. Haz prueba de parche antes de usar. Suspende su uso si aparece irritación.",100 gr,40,400,38,380,34,340,102140.webp,1
102012,Avena miel,"Glicerina, LESS, Cocoamida, Aceite de coco, Avena, Miel, Base miel, TEA",Jabón sólido,Aromáticos,NS+AL,"Aroma dulce y reconfortante que hace más agradable la rutina.
Base de glicerina: limpieza amable y enjuague fácil, sin sensación pegajosa.
La avena aporta suavidad y sensación de confort tras el baño.
Espuma cremosa ideal para climas secos o uso nocturno.
Deja tacto más flexible cuando se seca sin fricción.",Evitar en personas con alergia a productos de abeja o piel muy reactiva. Haz prueba de parche.,100 gr,45,450,43,430,39,390,102012.webp,1
102141,Avena Miel y Arroz,"Glicerina, LESS, Cocoamida, Acite de coco, Avena Miel y Arroz TEA",Jabón sólido,Jabón sólido,S,"Aroma suave y cálido con notas ligeramente dulces que hacen más agradable la rutina de baño.
Base de glicerina: limpieza amable y enjuague fácil, sin sensación pegajosa.
Combinación inspirada en ingredientes tradicionalmente usados para el cuidado suave de la piel que ayuda a dejar una sensación de confort después del lavado.
Espuma cremosa que acompaña una limpieza delicada sin necesidad de fricción excesiva.
Ideal para rutinas de baño relajantes o para piel que busca sentirse más suave y equilibrada después del lavado.
Deja un tacto más flexible y confortable cuando la piel se seca.","Aunque está formulado con ingredientes suaves, personas con alergia a la avena o miel deben evitar su uso. Haz prueba de parche antes del primer uso. Suspende su uso si aparece irritación.",100 gr,40,400,38,380,34,340,102141.webp,1
102013,Avena para bebé,"Glicerina, LESS, Cocoamida, Aceite de coco, Avena, Miel, TEA",Jabón sólido,Aromáticos,NS+AL,"Aroma suave “bebé” que aporta sensación de confort y limpieza fresca.
Base de glicerina: limpieza gentil, enjuague fácil, sin sensación pegajosa.
La avena ayuda a dejar la piel con tacto más suave tras el baño.
Espuma ligera/cremosa que hace la rutina rápida y agradable.
Ideal para quien busca un aroma tierno sin notas intensas.","En piel muy reactiva o con antecedentes de sensibilidad a fragancias, mejor elegir tu Avena sin perfume.",100 gr,45,450,43,430,39,390,102013.webp,1
102050,Azúfre,"Glicerina, LESS, Cocoamida, Aceite de coco, Azúfre, TEA",Jabón sólido,Exfoliante,NS+AL,"Limpieza profunda con sensación purificante al enjuagar.
Ayuda a que la piel se sienta menos brillante y con textura más uniforme con uso constante.
Base de glicerina: enjuague fácil, sin sensación pegajosa.
Espuma ligera, pensada para piel mixta/grasa en rutina diurna.
Opción ideal cuando buscas un reset después de calor o actividad.","Puede resecar en piel sensible. Evita rostro y contorno de ojos. Úsalo máx. 1 vez al día (o días alternos si notas tirantez). Si tu piel es muy reactiva, haz prueba de parche; si irrita, suspende.",100 gr,45,450,43,430,39,390,102050.webp,1
102014,Bergamota,"Glicerina, LESS, Cocoamida, Aceite de coco, Aceite esencial de bergamota, Base Bergamota, Extracto de gengibre, TEA.",Jabón sólido,Astringente,NS+AL,"Aroma cítrico brillante que deja sensación fresca y limpia tras el enjuague.
Astringencia ligera: ayuda a que la piel se sienta menos brillante después del baño.
Base de glicerina: limpieza suave, enjuague fácil, sin sensación pegajosa.
Espuma ligera, ideal para uso diurno en piel normal/mixta.
Perfil aromático que anima la rutina sin volverse invasivo.",No recomendado para piel muy reactiva. Evita el contorno de ojos y realiza prueba de parche.,100 gr,45,450,43,430,39,390,102014.webp,1
102135,Bugambilia Eucalipto y Menta,"Glicerina, LESS, Cocoamida, Acite de coco, Bugambilia Eucalipto y Menta TEA",Jabón sólido,Jabón sólido,NS+AL,"Aroma herbal fresco con notas mentoladas que aporta sensación de limpieza y energía durante el baño.
Base de glicerina: limpieza amable y enjuague fácil, sin sensación pegajosa.
El eucalipto aporta sensación purificante y ayuda a que la piel se sienta limpia y fresca.
La menta brinda un efecto refrescante que revitaliza la piel y deja una agradable sensación de frescura.
La bugambilia aporta una nota floral suave que equilibra el aroma y contribuye a una sensación de suavidad tras el lavado.
Espuma ligera y refrescante ideal para uso matutino o después de actividad física.",,100 gr,40,400,38,380,34,340,102135.webp,1
102015,Café,"Glicerina, LESS, Cocoamida, Aceite de coco, Café de grano, TEA",Jabón sólido,Exfoliante,NS+AL,"Exfoliación física suave con partículas de café: ayuda a retirar células muertas y mejora la apariencia de zonas ásperas (codos, rodillas).
Sensación energizante: aroma a café que anima la rutina matutina.
Base de glicerina: limpieza amable y enjuague fácil, sin sensación pegajosa.
Piel con tacto más liso y aspecto más uniforme tras el secado.
Úsalo 2–3 veces por semana; alterna con un jabón no exfoliante.","Evita en rostro, piel muy reactiva, irritada o con dermatitis/rosácea.",100 gr,45,450,43,430,39,390,102015.webp,1
102016,Caléndula,"Glicerina, LESS, Cocoamida, Aceite de coco, Caléndula, TEA",Jabón sólido,Piel sensible,AL,"Aporta sensación de calma y confort tras el baño, ideal para rutinas suaves.
Base de glicerina: limpieza gentil, enjuague fácil, sin residuo pegajoso.
Espuma ligera pensada para uso diario y para piel que se irrita con facilidad.
Perfil neutro y amable; opción cuando se buscan aromas discretos o nulos.
Deja la piel con tacto suave y menos sensación de tirantez post-ducha.",Precaución en personas alérgicas a Asteraceae. Haz prueba de parche en piel muy reactiva.,100 gr,45,450,43,430,39,390,102016.webp,1
102142,Caléndula y Árnica,"Glicerina, LESS, Cocoamida, Acite de coco, Caléndula y Árnica TEA",Jabón sólido,Jabón sólido,S,"Aroma herbal suave que acompaña una rutina de baño tranquila y reconfortante.
Base de glicerina: limpieza amable y enjuague fácil, sin sensación pegajosa.
Mezcla botánica tradicionalmente asociada con el cuidado delicado de la piel, que ayuda a que se sienta más calmada y confortable después del lavado.
Espuma ligera que permite limpiar sin fricción excesiva, ideal para rutinas de cuidado suave.
Deja una sensación de suavidad y bienestar en la piel después del baño.
Ideal para quienes buscan una experiencia de limpieza gentil con aroma herbal natural.",Contiene extractos botánicos que pueden provocar reacción en personas sensibles a plantas de la familia Asteraceae (como árnica o caléndula). Haz prueba de parche antes de usar. Suspende su uso si aparece irritación.,100 gr,40,400,38,380,34,340,102142.webp,1
102017,Canela,"Glicerina, LESS, Cocoamida, Aceite de coco, Canela, Base de canela, TEA",Jabón sólido,Aromáticos,NS+AL,"Aroma cálido y especiado que da sensación acogedora tipo “baño de invierno”.
Base de glicerina: limpieza amable, enjuague fácil, sin sensación pegajosa.
Perfil estimulante que anima la rutina matutina sin volverse empalagoso.
Espuma cremosa que deja tacto más confortable tras el secado.
Combina bien con climas fríos o noches donde buscas una fragancia envolvente.","Puede irritar piel reactiva o zonas sensibles. Evita rostro/ojos y mucosas. Haz prueba de parche; si irrita, suspende. No recomendado para niños pequeños.",100 gr,45,450,43,430,39,390,102017.webp,1
102018,Carbón activado,"Glicerina, LESS, Cocoamida, Aceite de coco, Carbón activado, Extracto de romero, TEA",Jabón sólido,Astringente,NS+AL,"Limpieza profunda con sensación purificante; ayuda a que la piel se sienta menos grasa al terminar.
Con uso constante, da una apariencia más mate y uniforme (sin prometer milagros).
Base de glicerina: enjuague fácil, sin sensación pegajosa.
Espuma ligera, ideal en rutinas diurnas para piel mixta/grasa.
Buen “reset” después de actividades o calor excesivo.","Puede resecar en piel seca o muy reactiva. Evita el contorno de ojos y zonas irritadas. Si sientes tirantez, reduce frecuencia (día por medio).",100 gr,45,450,43,430,39,390,102018.webp,1
102019,CBD,"Glicerina, LESS, Cocoamida, Aceite de coco, CBD al 2.0%, TEA, aceites y extractos esenciales.",Jabón sólido,Aromáticos,NS+AL,"Limpieza suave con base de glicerina; enjuague fácil, sin sensación pegajosa.
Perfil confort: sensación agradable post-ducha, ideal para rutina nocturna.
Si usas aceites portadores (p. ej., semilla de cáñamo) aporta toque emoliente y deja tacto más flexible.
Espuma ligera/cremosa que no satura, pensada para uso cotidiano del cuerpo.","No recomendado para piel muy reactiva. Evita el contorno de ojos. Haz prueba de parche; si irrita, suspende.",100 gr,76,760,73,730,65,650,102019.webp,1
102078,Cempasúchil,"Glicerina, LESS, Cocoamida, Aceite de coco, Cempasúchil, TEA",Jabón sólido,Astringente,NS+AL,"Aroma floral–herbal inspirado en el cempasúchil que deja una sensación fresca al enjuagar.
Base de glicerina: limpieza amable y enjuague fácil, sin sensación pegajosa.
Espuma ligera/cremosa que aporta confort en la ducha.
Perfil vivo y festivo ideal para temporadas especiales o quien disfruta notas botánicas.","Puede contener alérgenos aromáticos. Evita el contorno de ojos. Piel muy reactiva: prueba de parche; si irrita, suspende.",100 gr,45,450,43,430,39,390,102078.webp,1
102020,Chocolate,"Glicerina, LESS, Cocoamida, Aceite de coco, Cocoa, Base de chocolate, TEA",Jabón sólido,Aromáticos,NS+AL,"Aroma gourmand cálido tipo cacao que vuelve el baño reconfortante.
Base de glicerina: limpieza amable, enjuague fácil, sin sensación pegajosa.
Deja tacto más flexible; buena opción para piel normal a seca.
Espuma cremosa ideal para rutina nocturna o climas fríos.
Perfil sensorial envolvente sin llegar a empalagar (si dosificas bien la fragancia).","Evita en piel muy reactiva y el contorno de ojos, usar máx. 2–3 veces/semana.",100 gr,45,450,43,430,39,390,102020.webp,1
102021,Cítricos,"Glicerina, LESS, Cocoamida, Aceite de coco, Naranja, Toronja, Limón y Mandarina",Jabón sólido,Astringente,NS+AL,"Aroma brillante y fresco (limón/naranja/toronja) que activa la rutina matutina.
Astringencia ligera: deja sensación menos brillante después del lavado.
Base de glicerina: limpieza suave, enjuague fácil, sin sensación pegajosa.
Espuma ligera pensada para uso diurno en piel normal/mixta.
Perfil refrescante ideal en climas cálidos o después de actividad.",No recomendado para piel muy reactiva. Evita contorno de ojos y haz prueba de parche.,100 gr,45,450,43,430,39,390,102021.webp,1
102022,Coco,"Glicerina, LESS, Cocoamida, Aceite de coco, Base de coco, TEA",Jabón sólido,Aromáticos,NS+AL,"Aroma tropical cremoso que convierte la ducha en un momento reconfortante.
Base de glicerina: limpieza amable, enjuague fácil, sin sensación pegajosa.
Sensación emoliente que deja el tacto más flexible tras el secado.
Espuma cremosa, ideal para rutina nocturna o climas secos.
Perfil sensorial cálido que acompaña sin volverse invasivo.",No recomendado para piel muy reactiva. Evita contorno de ojos y haz prueba de parche.,100 gr,45,450,43,430,39,390,102022.webp,1
102023,Concha nacar,"Glicerina, LESS, Cocoamida, Aceite de coco, Crema de concha nacar, Alantoina, TEA",Jabón sólido,Exfoliante,NS+AL,"Exfoliación mineral suave (polvo finamente molido) que ayuda a pulir textura y dejar tacto más liso.
Con uso regular, la piel luce más uniforme y luminosa (sin prometer blanqueamientos milagrosos).
Base de glicerina: limpieza amable con enjuague fácil, sin sensación pegajosa.
Espuma ligera, ideal para cuerpo y zonas ásperas (codos, rodillas).
Buen complemento 2–3 veces por semana en rutinas que buscan suavidad al tacto.","Evita rostro/ojos, piel irritada o muy reactiva. Úsalo máx. 2–3 veces/semana para no sobre-exfoliar y haz prueba de parche.",100 gr,45,450,43,430,39,390,102023.webp,1
102143,Cúrcuma y Miel,"Glicerina, LESS, Cocoamida, Acite de coco, Cúrcuma y Miel TEA",Jabón sólido,Jabón sólido,S,"Aroma cálido y ligeramente especiado con notas dulces que hacen más agradable la rutina de baño.
Base de glicerina: limpieza amable y enjuague fácil, sin sensación pegajosa.
Combinación inspirada en ingredientes tradicionales de cuidado personal que ayudan a que la piel se sienta limpia, suave y con sensación de equilibrio después del lavado.
Espuma ligera que permite una limpieza delicada mientras deja la piel con sensación de suavidad y confort.
Ideal para rutinas de baño que buscan una sensación cálida y reconfortante en la piel.","Aunque es un jabón suave, personas con alergia a la miel o sensibilidad a especias deben usar con precaución. La cúrcuma puede dejar ligera coloración temporal en telas claras. Haz prueba de parche antes del primer uso. Suspende su uso si aparece irritación.",100 gr,40,400,38,380,34,340,102143.webp,1
102051,Durazno,"Glicerina, LESS, Cocoamida, Aceite de coco, Durazno, TEA",Jabón sólido,Aromáticos,NS+AL,"Aroma frutal jugoso que vuelve la ducha fresca y alegre.
Base de glicerina: limpieza amable y enjuague fácil, sin sensación pegajosa.
Espuma ligera/cremosa que deja tacto cómodo al secar.
Perfil dulce y suave que acompaña sin empalagar.
Ideal para rutina diurna o climas cálidos.","Evita el contorno de ojos. Si tu piel es muy reactiva, haz prueba de parche; si irrita, suspende.",100 gr,45,450,43,430,39,390,102051.webp,1
102053,"Gengibre con limón, cúrcuma y canela","Glicerina, LESS, Cocoamida, Aceite de coco, Gengivre, limón, cúrcuma, canela, TEA",Jabón sólido,Aromáticos,NS+AL,"Aroma cítrico–especiado que activa la rutina y deja sensación fresca.
Astringencia ligera: piel con menos brillo tras el lavado.
Base de glicerina: limpieza amable y enjuague fácil, sin sensación pegajosa.
Espuma ligera/cremosa que acompaña sin empalagar.
Perfil sensorial energizante ideal para la mañana.","Puede contener alérgenos aromáticos y compuestos fotosensibilizantes. Evita el contorno de ojos. Piel muy reactiva: prueba de parche; si irrita, suspende.",100 gr,45,450,43,430,39,390,102053.webp,1
102054,"Gengibre con naranja, cúrcuma y canela","Glicerina, LESS, Cocoamida, Aceite de coco, Gengivre, naranja, cúrcuma, canela, TEA",Jabón sólido,Aromáticos,NS+AL,"Aroma cítrico–especiado (naranja + gengibre) que activa y deja sensación fresca.
Astringencia ligera: piel con menos brillo tras el lavado.
Base de glicerina: limpieza amable y enjuague fácil, sin sensación pegajosa.
Espuma ligera/cremosa que acompaña sin empalagar.
Perfil sensorial energizante ideal para la mañana o climas cálidos.","Puede contener alérgenos aromáticos y compuestos fotosensibilizantes. Evita el contorno de ojos. Piel muy reactiva: prueba de parche; si irrita, suspende.",100 gr,45,450,43,430,39,390,102054.webp,1
102025,Glicerina,"Glicerina, LESS, Cocoamida, Aceite de coco, TEA",Jabón sólido,Piel sensible,AL,"Limpieza amable con base de glicerina, pensada para uso cotidiano.
Enjuague rápido, sin sensación pegajosa.
Espuma ligera que no satura la piel.
Deja tacto cómodo y apariencia limpia.
Opción neutra cuando no quieres botánicos intensos.",,100 gr,45,450,43,430,39,390,102025.webp,1
